20 5 10
44
1 	1 	1  	10 	20 	20 	1
2 	2 	1 	30 	30 	20 	2
3 	2 	1 	40 	40 	20 	2
4 	0 	2 	50 	50 	20 	3
5 	1 	4  	15 	20 	20 	1
6 	2 	9  	30 	30 	20 	2
7 	2 	12 	40 	40 	20 	2
8 	0 	13 	50 	50 	20 	3
9 	1 	16  	25 	20 	20 	1
10 	2 	20  	30 	30 	20 	2
11 	2 	24 	40 	40 	20 	2
12 	0 	25 	50 	50 	20 	3
13 	1 	26  	1 	20 	20 	1
14 	2 	27  	30 	30 	20 	2
15	2 	29 	40 	40 	20 	2
16	0 	42 	50 	50 	20 	3
17 	1 	50  	20 	20 	20 	1
18 	2 	55  	30 	30 	20 	2
19 	2 	56 	40 	40 	20 	2
20 	0 	57 	50 	50 	20 	3
21 	1 	58  	2 	20 	20 	1
22 	2 	59  	30 	30 	20 	2
23 	2 	60 	40 	40 	20 	2
24 	0 	60 	50 	50 	20 	3
25 	1 	62  	20 	20 	20 	1
26 	2 	66 	30 	30 	20 	2
27 	2 	70 	40 	40 	20 	2
28 	0 	80 	50 	50 	20 	3
29 	1 	81  	5 	20 	20 	1
30 	2 	82  	30 	30 	20 	2
31 	2 	88 	40 	40 	20 	2
32 	0 	90 	50 	50 	20 	3
33 	1 	91  	20 	20 	20 	1
34 	2 	92 	30 	30 	20 	2
35 	2 	93 	40 	40 	20 	2
36 	0 	94 	50 	50 	20 	3
37 	1 	95 	20 	20 	20 	1
38 	2 	96 	30 	30 	20 	2
39 	2 	97 	40 	40 	20 	2
40 	0 	98 	50 	50 	20 	3
41 	1 	98  	20 	20 	20 	1
42 	2 	98  	30 	30 	20 	2
43 	2 	99 	40 	40 	20 	2
44 	0 	100 	50 	50 	20 	3

